Hotel,Dish,Review,Rating,Price
Hotel A,Butter Chicken,expensive experience ambiance portion spicy mouthwatering price aromatic menu meal spicy expensive dish undercooked experience aroma meal flavor flavorful recommendation,1,$13.85
Hotel A,Butter Chicken,unique delicious cuisine unique chef expensive portion flavorful meal portion bland affordable taste aroma spices restaurant chef tasty taste service,5,$13.85
Hotel A,Butter Chicken,undercooked taste undercooked exquisite satisfying quality undercooked overcooked quality portion aroma cuisine mouthwatering overcooked aromatic unique expensive mediocre spicy savory,3,$13.85
Hotel A,Butter Chicken,taste mediocre mediocre aroma recommendation spicy spicy rich menu texture presentation texture experience mediocre spices aromatic exquisite exquisite exquisite meal,5,$13.85
Hotel A,Tikka Masala,service satisfying restaurant service flavor rich service restaurant affordable meal spicy spices delicious price price exquisite heavenly ambiance aromatic flavor,4,$18.15
Hotel A,Tikka Masala,dish portion quality flavor unique menu bland bland meal ingredients overcooked flavorful chef recommendation cuisine spices unique bland spicy rich,1,$18.15
Hotel A,Tikka Masala,overcooked aroma experience disappointing texture dish service quality meal menu mouthwatering chef aromatic quality disappointing expensive experience aromatic experience ambiance,5,$18.15
Hotel A,Tikka Masala,dish exquisite aromatic service spices savory chef exquisite undercooked menu exquisite service experience bland spices quality mediocre disappointing exquisite presentation,3,$18.15
Hotel A,Tikka Masala,dish recommendation exquisite rich presentation dish exquisite expensive exquisite cuisine affordable undercooked experience satisfying undercooked texture exquisite recommendation overcooked tasty,4,$18.15
Hotel A,Tikka Masala,overcooked authentic tasty flavorful meal price dish mediocre authentic aromatic taste mediocre unique texture authentic quality experience restaurant flavorful recommendation,1,$18.15
Hotel A,Tikka Masala,spices spices exquisite affordable texture texture cuisine meal heavenly dish cuisine flavor delicious heavenly dish unique quality satisfying spicy overcooked,1,$18.15
Hotel A,Tikka Masala,heavenly recommendation bland flavorful satisfying spicy restaurant heavenly chef chef heavenly expensive service affordable bland tasty overcooked meal mouthwatering spices,3,$18.15
Hotel A,Tikka Masala,meal delicious chef delicious unique expensive texture undercooked restaurant recommendation flavorful mouthwatering spices aroma overcooked aroma meal quality service mouthwatering,3,$18.15
Hotel A,Tikka Masala,chef undercooked unique recommendation chef aroma heavenly ingredients chef bland texture rich ambiance menu dish meal mediocre flavorful flavorful delicious,1,$18.15
Hotel A,Vindaloo,affordable cuisine undercooked flavor flavorful experience expensive service aromatic heavenly meal satisfying aromatic chef affordable aroma undercooked mediocre overcooked chef,2,$10.21
Hotel A,Vindaloo,flavor taste ambiance exquisite savory ingredients recommendation flavor unique presentation satisfying experience restaurant meal presentation rich tasty portion authentic chef,5,$10.21
Hotel A,Vindaloo,aromatic quality aromatic aroma price heavenly chef bland chef price aroma affordable exquisite ambiance savory portion cuisine recommendation unique flavor,3,$10.21
Hotel A,Vindaloo,spices affordable price aroma delicious quality chef tasty presentation ambiance rich rich portion meal ingredients texture recommendation mouthwatering spices dish,5,$10.21
Hotel A,Vindaloo,dish savory spices expensive spicy spicy taste recommendation authentic price ambiance savory aromatic rich undercooked recommendation exquisite service unique texture,3,$10.21
Hotel A,Vindaloo,recommendation authentic ingredients flavorful heavenly service quality exquisite price flavor chef undercooked ambiance chef affordable recommendation service rich unique expensive,4,$10.21
Hotel A,Vindaloo,flavorful cuisine aroma tasty tasty aromatic flavorful overcooked quality mediocre flavor portion mouthwatering flavor disappointing unique delicious meal service flavorful,1,$10.21
Hotel A,Vindaloo,flavor presentation spices satisfying mouthwatering rich aromatic bland cuisine price recommendation experience chef dish portion disappointing delicious undercooked mediocre disappointing,5,$10.21
Hotel A,Vindaloo,spicy delicious satisfying savory meal restaurant savory disappointing spicy price flavor flavor satisfying affordable service aromatic delicious experience disappointing recommendation,1,$10.21
Hotel A,Vindaloo,price spicy tasty flavorful rich bland delicious flavor menu unique ingredients ambiance heavenly quality affordable presentation expensive recommendation texture mediocre,4,$10.21
Hotel A,Malai Kofta,authentic overcooked expensive bland savory mediocre tasty aroma presentation taste heavenly mouthwatering recommendation aromatic savory aromatic restaurant service spicy restaurant,3,$10.41
Hotel A,Malai Kofta,dish ambiance savory ingredients spices overcooked expensive price heavenly cuisine bland authentic aroma savory affordable expensive chef savory cuisine flavorful,2,$10.41
Hotel A,Malai Kofta,unique recommendation portion menu mediocre spicy experience disappointing savory portion cuisine disappointing dish disappointing aroma savory cuisine exquisite unique savory,1,$10.41
Hotel A,Malai Kofta,aromatic bland affordable undercooked heavenly spicy authentic savory flavor recommendation taste presentation delicious disappointing disappointing aromatic dish dish aromatic exquisite,1,$10.41
Hotel A,Malai Kofta,experience affordable experience ambiance portion presentation authentic heavenly satisfying satisfying rich experience exquisite quality meal spices savory presentation mouthwatering tasty,4,$10.41
Hotel A,Malai Kofta,aroma rich ingredients mediocre dish heavenly savory spicy ambiance mediocre taste tasty spices price tasty texture portion mouthwatering restaurant portion,3,$10.41
Hotel A,Malai Kofta,portion rich meal taste disappointing spicy taste undercooked mediocre menu affordable undercooked ambiance bland ambiance restaurant bland undercooked experience flavor,5,$10.41
Hotel A,Malai Kofta,presentation mouthwatering satisfying mouthwatering recommendation menu bland aromatic mediocre authentic satisfying rich price portion bland expensive spicy bland presentation meal,1,$10.41
Hotel A,Malai Kofta,flavorful taste affordable experience bland tasty aroma dish flavor disappointing taste menu savory ambiance restaurant aromatic portion aroma service aroma,2,$10.41
Hotel A,Malai Kofta,menu mouthwatering price unique spicy aromatic price affordable affordable affordable texture restaurant quality flavor aroma bland texture affordable mediocre tasty,2,$10.41
Hotel B,Tikka Masala,spices tasty authentic spicy mouthwatering presentation quality aroma unique overcooked cuisine aroma heavenly recommendation flavorful exquisite authentic service unique rich,1,$11.50
Hotel B,Tikka Masala,portion rich undercooked aromatic aroma portion undercooked delicious service aromatic experience meal affordable price affordable heavenly experience flavorful authentic cuisine,1,$11.50
Hotel B,Tikka Masala,ambiance ingredients expensive experience quality mediocre spices flavorful tasty price savory meal service presentation restaurant recommendation service heavenly disappointing mediocre,3,$11.50
Hotel B,Tikka Masala,expensive ingredients flavorful spicy menu rich expensive tasty price mouthwatering affordable unique quality price service flavorful recommendation spices disappointing mediocre,5,$11.50
Hotel B,Tikka Masala,recommendation mouthwatering texture price rich flavor dish satisfying bland tasty menu aroma satisfying heavenly meal ingredients cuisine unique undercooked mediocre,2,$11.50
Hotel B,Tikka Masala,price unique chef restaurant service expensive quality mouthwatering spicy price savory meal tasty disappointing ambiance ambiance price restaurant quality undercooked,3,$11.50
Hotel B,Tikka Masala,quality bland aroma spices expensive savory portion chef experience recommendation taste spicy delicious disappointing flavorful undercooked recommendation overcooked unique undercooked,4,$11.50
Hotel B,Tikka Masala,presentation recommendation expensive undercooked texture meal savory menu chef bland mediocre cuisine mediocre aroma delicious ingredients disappointing delicious undercooked undercooked,2,$11.50
Hotel B,Tikka Masala,expensive savory aroma dish tasty chef satisfying overcooked rich dish taste meal experience overcooked spicy authentic service expensive overcooked expensive,5,$11.50
Hotel B,Tikka Masala,mouthwatering quality ingredients experience ingredients spicy menu spices meal cuisine authentic authentic tasty ambiance disappointing heavenly exquisite mouthwatering presentation unique,3,$11.50
Hotel B,Dosa,texture undercooked bland exquisite ingredients dish restaurant mouthwatering mediocre heavenly unique flavorful spices heavenly portion tasty heavenly flavorful unique aromatic,3,$14.00
Hotel B,Dosa,presentation undercooked savory spices satisfying authentic delicious bland disappointing expensive portion affordable spicy flavor satisfying taste heavenly flavor bland exquisite,5,$14.00
Hotel B,Dosa,flavor experience dish bland texture heavenly flavor meal recommendation spices aroma spices cuisine disappointing flavorful ambiance mouthwatering texture quality tasty,4,$14.00
Hotel B,Dosa,spicy flavorful affordable heavenly restaurant taste quality restaurant menu aroma ambiance savory aroma presentation cuisine recommendation portion ingredients aroma texture,5,$14.00
Hotel B,Dosa,dish rich flavorful flavor menu aroma taste ambiance satisfying mouthwatering delicious unique savory ingredients taste tasty chef menu menu authentic,3,$14.00
Hotel B,Dosa,aroma restaurant unique expensive chef texture mediocre undercooked recommendation bland bland chef restaurant disappointing spicy delicious recommendation restaurant mediocre ambiance,3,$14.00
Hotel B,Dosa,overcooked tasty flavorful bland satisfying flavorful mouthwatering presentation cuisine flavorful satisfying dish mediocre disappointing ingredients presentation aroma cuisine chef experience,3,$14.00
Hotel B,Dosa,aroma expensive taste presentation meal presentation cuisine mediocre mediocre ingredients heavenly quality aromatic savory chef rich ambiance savory restaurant portion,1,$14.00
Hotel B,Dosa,flavorful savory expensive flavor authentic restaurant expensive disappointing undercooked unique service recommendation chef heavenly overcooked ingredients flavor savory disappointing authentic,1,$14.00
Hotel B,Dosa,heavenly recommendation disappointing portion satisfying mediocre meal satisfying restaurant bland experience experience ingredients authentic restaurant flavor experience bland menu mediocre,2,$14.00
Hotel B,Butter Chicken,texture ambiance flavorful aromatic taste exquisite satisfying quality service portion aroma unique satisfying ambiance heavenly bland portion quality cuisine chef,4,$14.48
Hotel B,Butter Chicken,price experience mouthwatering restaurant aroma mediocre bland bland spices menu quality exquisite authentic portion aromatic tasty heavenly aromatic undercooked mediocre,4,$14.48
Hotel B,Butter Chicken,texture price texture unique savory cuisine spicy recommendation menu aromatic ambiance experience meal texture savory texture taste spices texture price,3,$14.48
Hotel B,Butter Chicken,quality affordable portion overcooked unique overcooked menu experience recommendation aromatic restaurant cuisine recommendation tasty cuisine ambiance price disappointing undercooked disappointing,5,$14.48
Hotel B,Butter Chicken,disappointing portion texture satisfying restaurant undercooked rich recommendation experience taste chef exquisite unique heavenly mediocre spicy restaurant chef presentation ingredients,4,$14.48
Hotel B,Butter Chicken,expensive unique affordable recommendation service satisfying authentic heavenly ambiance tasty meal presentation disappointing exquisite affordable expensive texture service disappointing texture,4,$14.48
Hotel B,Butter Chicken,rich spices menu undercooked cuisine aroma flavorful taste service exquisite presentation authentic aroma quality cuisine aromatic delicious bland portion mediocre,2,$14.48
Hotel B,Butter Chicken,exquisite flavorful overcooked spicy experience flavorful rich cuisine overcooked savory restaurant overcooked recommendation undercooked chef chef savory mouthwatering authentic expensive,1,$14.48
Hotel B,Butter Chicken,texture menu affordable meal affordable undercooked flavor ingredients mediocre dish satisfying service price aromatic delicious tasty tasty experience affordable cuisine,5,$14.48
Hotel B,Butter Chicken,affordable satisfying delicious affordable recommendation savory aromatic exquisite menu aroma tasty portion service expensive recommendation flavorful presentation rich meal spicy,2,$14.48
Hotel B,Rajma,aroma satisfying texture tasty taste recommendation mouthwatering satisfying affordable tasty aromatic flavorful portion heavenly undercooked spices delicious ingredients presentation bland,5,$14.09
Hotel B,Rajma,aromatic experience tasty restaurant tasty taste exquisite restaurant tasty price texture recommendation aroma mediocre ambiance spicy recommendation rich savory taste,2,$14.09
Hotel B,Rajma,tasty expensive savory recommendation overcooked heavenly menu expensive menu tasty ambiance overcooked recommendation disappointing quality mouthwatering bland flavorful menu cuisine,1,$14.09
Hotel B,Rajma,meal savory mouthwatering overcooked spices texture mediocre chef ingredients presentation rich service rich recommendation flavorful savory flavorful texture price chef,4,$14.09
Hotel B,Rajma,presentation texture chef satisfying mediocre expensive tasty recommendation spicy flavor rich unique price ingredients mouthwatering flavor exquisite recommendation price texture,4,$14.09
Hotel B,Rajma,service overcooked menu bland exquisite spicy bland ingredients mediocre cuisine taste aroma expensive ambiance tasty flavorful aroma aromatic overcooked bland,3,$14.09
Hotel B,Rajma,disappointing ambiance flavor chef texture presentation expensive affordable portion experience exquisite meal savory menu quality flavor price heavenly tasty heavenly,1,$14.09
Hotel B,Rajma,savory quality overcooked spicy service expensive presentation texture texture service disappointing mouthwatering heavenly exquisite dish undercooked mouthwatering restaurant restaurant presentation,5,$14.09
Hotel B,Rajma,meal aromatic bland unique spices delicious disappointing undercooked satisfying portion exquisite aromatic aroma delicious cuisine flavorful mouthwatering savory cuisine quality,5,$14.09
Hotel B,Rajma,rich affordable ingredients mediocre heavenly tasty cuisine spicy aromatic texture expensive presentation quality unique mediocre delicious savory spicy disappointing flavorful,4,$14.09
Hotel B,Chole Bhature,overcooked texture chef exquisite texture affordable menu tasty disappointing texture heavenly flavor quality bland unique flavorful disappointing tasty aromatic presentation,5,$19.87
Hotel B,Chole Bhature,authentic price affordable texture exquisite recommendation unique price service bland rich presentation dish texture recommendation rich unique exquisite expensive satisfying,1,$19.87
Hotel B,Chole Bhature,experience tasty undercooked presentation authentic satisfying taste quality exquisite ambiance aroma portion mouthwatering chef authentic exquisite ambiance presentation aromatic tasty,2,$19.87
Hotel B,Chole Bhature,expensive undercooked spices spicy ambiance exquisite experience presentation authentic authentic affordable mouthwatering unique texture menu delicious aromatic heavenly portion exquisite,1,$19.87
Hotel B,Chole Bhature,exquisite savory cuisine exquisite unique spicy dish menu savory price overcooked mouthwatering tasty affordable flavor restaurant cuisine mediocre rich bland,4,$19.87
Hotel B,Chole Bhature,rich spices flavor quality satisfying bland unique chef overcooked bland service menu delicious disappointing portion portion expensive savory restaurant price,5,$19.87
Hotel B,Chole Bhature,affordable dish quality cuisine dish affordable tasty portion spicy exquisite exquisite chef undercooked spicy spicy expensive authentic meal delicious unique,3,$19.87
Hotel B,Chole Bhature,aroma overcooked chef undercooked disappointing quality meal portion bland aroma spices delicious unique aroma cuisine rich texture satisfying recommendation taste,3,$19.87
Hotel B,Chole Bhature,menu meal tasty dish dish dish exquisite spices savory taste restaurant price mouthwatering aromatic mouthwatering quality disappointing undercooked rich ingredients,5,$19.87
Hotel B,Chole Bhature,expensive flavorful rich service presentation restaurant mediocre aroma undercooked cuisine unique authentic texture price ingredients heavenly chef undercooked rich affordable,3,$19.87
Hotel C,Naan,expensive spices taste tasty cuisine savory mouthwatering disappointing tasty bland cuisine chef savory taste restaurant heavenly delicious aroma heavenly dish,5,$17.44
Hotel C,Naan,expensive disappointing aroma recommendation expensive taste expensive quality flavorful heavenly portion aroma savory savory spicy quality chef aroma flavorful portion,4,$17.44
Hotel C,Naan,taste savory delicious tasty experience unique rich ingredients spices texture service heavenly dish ingredients expensive tasty texture portion disappointing aroma,5,$17.44
Hotel C,Naan,authentic tasty texture overcooked tasty spices tasty flavorful portion affordable flavor spices authentic spicy ambiance heavenly texture restaurant delicious ingredients,2,$17.44
Hotel C,Naan,overcooked restaurant service aroma portion tasty rich restaurant authentic ambiance mouthwatering cuisine menu authentic aroma flavor spicy ambiance bland service,3,$17.44
Hotel C,Naan,exquisite recommendation mediocre cuisine recommendation mouthwatering flavor menu presentation rich quality spices taste mediocre exquisite taste spicy aromatic chef ingredients,3,$17.44
Hotel C,Naan,dish undercooked recommendation restaurant satisfying presentation undercooked affordable restaurant cuisine aroma overcooked menu spicy flavor flavorful menu chef affordable dish,1,$17.44
Hotel C,Naan,meal taste experience bland heavenly ingredients presentation menu aroma satisfying experience dish ingredients undercooked bland cuisine chef satisfying cuisine service,3,$17.44
Hotel C,Naan,aroma presentation meal spices mediocre rich dish texture chef heavenly aroma bland price restaurant portion service affordable exquisite bland expensive,2,$17.44
Hotel C,Naan,unique dish spicy authentic undercooked restaurant bland meal rich bland meal spices restaurant taste aroma flavorful spicy spicy quality spices,3,$17.44
Hotel C,Tikka Masala,satisfying disappointing experience expensive spices unique dish affordable quality exquisite flavor recommendation spices affordable chef ingredients authentic disappointing spices mediocre,3,$8.22
Hotel C,Tikka Masala,chef heavenly authentic savory cuisine ingredients experience bland mediocre mouthwatering taste chef aromatic dish service disappointing chef restaurant spices overcooked,4,$8.22
Hotel C,Tikka Masala,unique recommendation cuisine chef ambiance meal flavorful heavenly service mediocre menu flavorful unique taste texture unique expensive portion menu heavenly,1,$8.22
Hotel C,Tikka Masala,spices mouthwatering dish taste menu ambiance service unique menu price delicious taste taste chef cuisine restaurant spices mouthwatering savory spicy,1,$8.22
Hotel C,Tikka Masala,dish bland texture ambiance aroma delicious chef overcooked satisfying disappointing undercooked tasty bland cuisine quality mouthwatering rich unique aroma price,5,$8.22
Hotel C,Tikka Masala,unique unique aromatic heavenly mouthwatering recommendation experience aroma restaurant restaurant ingredients recommendation exquisite affordable recommendation unique presentation tasty menu chef,5,$8.22
Hotel C,Tikka Masala,ambiance disappointing ambiance unique ingredients undercooked cuisine bland service spicy menu undercooked texture service experience aroma exquisite service undercooked aromatic,5,$8.22
Hotel C,Tikka Masala,experience spices overcooked aroma overcooked ambiance spicy portion overcooked bland texture meal spicy exquisite price portion texture taste mouthwatering recommendation,1,$8.22
Hotel C,Tikka Masala,taste delicious cuisine aromatic unique ingredients bland ambiance service expensive dish texture mediocre tasty ingredients restaurant quality portion tasty rich,2,$8.22
Hotel C,Tikka Masala,flavor heavenly mouthwatering price flavorful satisfying portion meal recommendation experience savory ambiance chef taste bland satisfying satisfying flavorful bland texture,1,$8.22
Hotel C,Vindaloo,tasty savory bland service heavenly taste presentation unique undercooked disappointing spices presentation quality quality affordable rich satisfying satisfying tasty exquisite,5,$29.97
Hotel C,Vindaloo,mouthwatering mediocre savory chef service expensive tasty restaurant chef rich price portion rich quality overcooked satisfying experience unique portion affordable,5,$29.97
Hotel C,Vindaloo,delicious experience disappointing exquisite dish service portion spices ambiance chef texture taste cuisine authentic undercooked tasty authentic chef affordable ingredients,5,$29.97
Hotel C,Vindaloo,quality portion quality rich meal meal taste affordable bland taste recommendation delicious portion taste texture texture taste meal disappointing experience,5,$29.97
Hotel C,Vindaloo,overcooked cuisine exquisite chef aromatic aroma menu menu mediocre affordable spices quality undercooked service overcooked disappointing presentation service flavor ambiance,2,$29.97
Hotel C,Vindaloo,meal flavor disappointing ingredients affordable spicy portion authentic flavor authentic aromatic meal authentic ingredients authentic savory texture bland taste recommendation,5,$29.97
Hotel C,Vindaloo,aroma restaurant dish portion service rich mediocre expensive savory heavenly experience aromatic flavor spices flavorful spices texture overcooked price quality,3,$29.97
Hotel C,Vindaloo,price taste tasty flavor aromatic meal delicious service spicy mediocre quality presentation aromatic bland overcooked restaurant expensive rich exquisite aroma,5,$29.97
Hotel C,Vindaloo,ambiance dish presentation rich cuisine mouthwatering spices flavor rich quality aromatic dish meal portion dish aroma satisfying presentation heavenly bland,4,$29.97
Hotel C,Vindaloo,rich authentic cuisine cuisine ambiance overcooked savory bland price flavorful portion flavor ingredients cuisine quality ambiance ingredients menu presentation mouthwatering,5,$29.97
Hotel C,Rajma,texture spicy unique undercooked ingredients undercooked bland authentic authentic service spicy flavor chef unique unique chef aromatic texture aromatic expensive,5,$15.45
Hotel C,Rajma,recommendation spicy unique portion affordable recommendation authentic rich portion recommendation presentation satisfying presentation authentic service mouthwatering cuisine mouthwatering expensive price,1,$15.45
Hotel C,Rajma,delicious aromatic savory chef satisfying savory aromatic undercooked rich portion taste unique authentic overcooked experience unique heavenly unique disappointing recommendation,4,$15.45
Hotel C,Rajma,meal affordable undercooked portion heavenly texture spices chef cuisine tasty cuisine experience heavenly ingredients disappointing satisfying meal tasty flavor chef,4,$15.45
Hotel C,Rajma,dish flavor menu cuisine overcooked menu tasty service restaurant texture quality texture quality satisfying quality mouthwatering dish meal spices chef,2,$15.45
Hotel C,Rajma,aroma recommendation heavenly authentic overcooked bland flavor flavorful authentic restaurant delicious delicious portion heavenly recommendation heavenly satisfying cuisine authentic portion,3,$15.45
Hotel C,Rajma,ingredients satisfying restaurant price satisfying presentation ingredients delicious spicy mediocre ambiance aroma spices quality presentation expensive ingredients menu service chef,3,$15.45
Hotel C,Rajma,unique tasty aromatic price delicious mouthwatering portion unique spicy presentation ambiance tasty flavor restaurant taste authentic delicious quality overcooked presentation,5,$15.45
Hotel C,Rajma,satisfying taste menu portion quality overcooked price quality disappointing aromatic rich meal overcooked affordable disappointing authentic price heavenly disappointing cuisine,3,$15.45
Hotel C,Rajma,delicious aroma ambiance delicious unique taste undercooked expensive unique ambiance taste aroma rich satisfying mediocre expensive flavor experience overcooked undercooked,5,$15.45
Hotel C,Butter Chicken,savory satisfying texture flavor rich bland portion quality dish flavor menu cuisine experience service rich spices overcooked ambiance aroma menu,2,$23.34
Hotel C,Butter Chicken,disappointing aroma cuisine meal disappointing ingredients portion texture taste authentic restaurant cuisine restaurant overcooked exquisite taste taste cuisine chef cuisine,1,$23.34
Hotel C,Butter Chicken,disappointing savory dish delicious quality chef delicious chef aroma aroma service savory taste cuisine exquisite flavor disappointing experience exquisite spices,1,$23.34
Hotel C,Butter Chicken,expensive undercooked meal authentic overcooked flavor overcooked disappointing disappointing expensive satisfying aroma recommendation quality affordable affordable restaurant experience chef menu,1,$23.34
Hotel C,Butter Chicken,ambiance experience flavorful portion chef taste undercooked meal meal overcooked recommendation tasty ingredients ingredients heavenly chef mouthwatering flavorful menu dish,1,$23.34
Hotel C,Butter Chicken,texture experience aroma tasty overcooked heavenly flavor cuisine satisfying restaurant menu aroma meal bland undercooked presentation presentation flavor quality overcooked,1,$23.34
Hotel C,Butter Chicken,tasty disappointing menu delicious heavenly experience dish portion quality spicy delicious taste experience portion unique service mouthwatering satisfying savory ingredients,2,$23.34
Hotel C,Butter Chicken,presentation meal taste quality meal meal taste tasty flavor recommendation chef mediocre exquisite unique delicious flavor taste overcooked disappointing expensive,3,$23.34
Hotel C,Butter Chicken,portion recommendation unique restaurant restaurant satisfying meal flavor unique presentation overcooked mediocre cuisine spices taste bland ambiance satisfying undercooked satisfying,1,$23.34
Hotel C,Butter Chicken,service expensive authentic flavor spicy price mouthwatering spicy mediocre presentation meal ingredients disappointing affordable delicious bland experience delicious authentic dish,1,$23.34
Hotel D,Tandoori Chicken,price rich taste recommendation satisfying experience experience tasty overcooked quality menu expensive aroma bland tasty taste heavenly mouthwatering expensive mouthwatering,5,$9.36
Hotel D,Tandoori Chicken,ingredients flavorful aroma mouthwatering ambiance overcooked overcooked ingredients presentation meal cuisine authentic dish aroma spices taste service delicious meal menu,5,$9.36
Hotel D,Tandoori Chicken,ambiance satisfying portion dish menu taste satisfying recommendation exquisite spicy savory recommendation authentic mouthwatering exquisite chef savory undercooked aroma mediocre,2,$9.36
Hotel D,Tandoori Chicken,heavenly affordable authentic unique mouthwatering tasty experience satisfying restaurant taste service authentic flavor chef cuisine recommendation restaurant savory cuisine overcooked,1,$9.36
Hotel D,Tandoori Chicken,ambiance flavor cuisine disappointing taste cuisine savory ambiance chef ambiance unique quality delicious quality service disappointing portion chef mediocre flavor,1,$9.36
Hotel D,Tandoori Chicken,mediocre savory service undercooked satisfying delicious expensive dish expensive affordable portion portion expensive experience flavorful heavenly heavenly affordable affordable rich,2,$9.36
Hotel D,Tandoori Chicken,experience heavenly bland exquisite service recommendation meal menu quality unique cuisine dish expensive service dish delicious service presentation flavor price,3,$9.36
Hotel D,Tandoori Chicken,disappointing exquisite experience savory taste quality texture expensive flavorful satisfying ingredients experience price menu overcooked menu flavor aroma mouthwatering texture,3,$9.36
Hotel D,Tandoori Chicken,delicious savory flavorful savory spicy savory overcooked satisfying experience undercooked bland cuisine texture mouthwatering texture savory expensive undercooked flavorful rich,2,$9.36
Hotel D,Tandoori Chicken,ambiance restaurant bland exquisite quality taste portion heavenly texture aromatic taste aromatic satisfying rich aromatic affordable satisfying experience menu delicious,1,$9.36
Hotel D,Vindaloo,recommendation tasty heavenly affordable service bland flavor menu quality expensive bland portion expensive cuisine expensive undercooked authentic disappointing flavor disappointing,2,$26.67
Hotel D,Vindaloo,satisfying portion exquisite satisfying experience dish flavor service spicy ambiance heavenly tasty restaurant texture quality expensive flavor bland satisfying flavorful,1,$26.67
Hotel D,Vindaloo,mediocre mediocre menu meal delicious mediocre price mouthwatering satisfying exquisite menu aroma expensive experience disappointing disappointing chef service experience menu,5,$26.67
Hotel D,Vindaloo,ambiance ingredients savory overcooked delicious satisfying ingredients delicious affordable spices aroma spicy recommendation unique ambiance expensive ambiance price menu taste,4,$26.67
Hotel D,Vindaloo,spicy quality expensive price restaurant restaurant undercooked price quality exquisite heavenly unique expensive recommendation restaurant exquisite recommendation dish spicy heavenly,3,$26.67
Hotel D,Vindaloo,disappointing recommendation flavorful spices savory mediocre rich tasty restaurant experience ambiance flavorful rich presentation price cuisine exquisite texture aroma undercooked,3,$26.67
Hotel D,Vindaloo,menu recommendation dish experience menu mediocre presentation disappointing portion spicy overcooked savory taste rich dish savory experience spices disappointing satisfying,2,$26.67
Hotel D,Vindaloo,dish presentation aromatic delicious experience chef texture authentic exquisite undercooked flavor chef bland aroma ingredients overcooked quality exquisite flavor cuisine,3,$26.67
Hotel D,Vindaloo,authentic spicy affordable overcooked spicy satisfying unique unique tasty menu undercooked savory meal experience ambiance undercooked undercooked undercooked service tasty,2,$26.67
Hotel D,Vindaloo,restaurant service ingredients bland menu ambiance satisfying rich service presentation unique mediocre unique service ingredients price ingredients rich ambiance chef,5,$26.67
Hotel D,Vada Pav,ambiance restaurant portion chef recommendation experience spicy recommendation dish authentic texture flavor flavor ingredients mouthwatering menu delicious savory aromatic savory,2,$10.71
Hotel D,Vada Pav,bland mediocre taste delicious portion service expensive flavor presentation price meal recommendation portion unique quality experience delicious disappointing expensive recommendation,3,$10.71
Hotel D,Vada Pav,overcooked presentation savory menu heavenly tasty restaurant spices texture heavenly delicious satisfying authentic bland delicious texture price heavenly meal aroma,4,$10.71
Hotel D,Vada Pav,unique delicious heavenly chef expensive rich recommendation portion aroma chef disappointing expensive menu heavenly authentic price ambiance mouthwatering portion flavor,4,$10.71
